plug_label,colony_id,bleach_treat,symbiont_treat,treatment,tank,treat_tank,coord_plot,t00,t14
236,B,Control,C,C,1,C_1,"7, 1",4.444,7.495
603,D,Control,C,C,1,C_1,"7, 3",7.946,11.742
1093,F,Control,C,C,1,C_1,"7, 5",3.455,7.774
417,C,Control,C,C,1,C_1,"7, 7",2.757,3.366
1111,F,Control,C,C,1,C_1,"7, 9",6.911,8.997
608,D,Control,C,C,1,C_1,"7, 11",6.438,9.492
931,E,Control,C,C,1,C_1,"6, 2",2.667,3.757
10,A,Control,C,C,1,C_1,"6, 4",5.544,7.542
1123,F,Control,C,C,1,C_1,"6, 6",5.689,8.618
969,E,Control,C,C,1,C_1,"6, 8",7.277,9.515
677,D,Control,C,C,1,C_1,"6, 10",2.482,3.048
1064,F,Control,C,C,1,C_1,"6, 12",7.198,13.339
874,E,Control,C,C,1,C_1,"5, 1",3.383,3.973
591,C,Control,C,C,1,C_1,"5, 3",2.75,4.277
235,B,Control,C,C,1,C_1,"5, 5",6.612,11.333
561,C,Control,C,C,1,C_1,"5, 7",4.033,8.525
328,B,Control,C,C,1,C_1,"5, 9",7.022,11.563
876,E,Control,C,C,1,C_1,"5, 11",6.176,8.189
1178,F,Control,C,C,1,C_1,"4, 2",7.202,13.351
776,D,Control,C,C,1,C_1,"4, 4",5.033,9.361
26,A,Control,C,C,1,C_1,"4, 6",5.56,8.846
697,D,Control,C,C,1,C_1,"4, 8",3.648,NA
412,C,Control,C,C,1,C_1,"4, 10",3.45,5.268
299,B,Control,C,C,1,C_1,"4, 12",6.319,11.228
178,B,Control,C,C,1,C_1,"3, 1",3.967,8.211
889,E,Control,C,C,1,C_1,"3, 3",3.432,5.208
564,C,Control,C,C,1,C_1,"3, 5",3.836,6.162
215,B,Control,C,C,1,C_1,"3, 7",4.822,10.464
138,A,Control,C,C,1,C_1,"3, 9",5.241,7.882
1134,F,Control,C,C,1,C_1,"3, 11",4.145,9.96
811,D,Control,C,C,1,C_1,"2, 2",4.232,6.628
1090,F,Control,C,C,1,C_1,"2, 4",4.309,7.974
771,D,Control,C,C,1,C_1,"2, 6",3.301,6.379
972,E,Control,C,C,1,C_1,"2, 8",6.494,8.483
208,B,Control,C,C,1,C_1,"2, 10",4.676,9.017
806,D,Control,C,C,1,C_1,"2, 12",4.106,4.123
325,B,Control,C,C,1,C_1,"1, 1",7.989,11.786
1213,F,Control,C,C,1,C_1,"1, 5",6.607,11.41
1151,F,Control,C,C,1,C_1,"1, 7",3.583,4.82
133,A,Control,C,C,1,C_1,"1, 9",5.224,8.618
648,D,Control,C,C,1,C_1,"1, 11",2.47,3.172
385,C,Control,C,C,1,C_1,"1, 3",4.912,8.893
764,D,Low,RIC,L_RIC,1,L_RIC_1,"7, 3",2.114,3.172
200,B,Low,RIC,L_RIC,1,L_RIC_1,"7, 5",7.458,9.958
878,E,Low,RIC,L_RIC,1,L_RIC_1,"7, 7",3.726,3.545
56,A,Low,RIC,L_RIC,1,L_RIC_1,"7, 9",5.283,4.34
1169,F,Low,RIC,L_RIC,1,L_RIC_1,"7, 11",5.292,8.1
951,E,Low,RIC,L_RIC,1,L_RIC_1,"6, 2",4.6,3.736
165,A,Low,RIC,L_RIC,1,L_RIC_1,"6, 4",4.958,2.464
527,C,Low,RIC,L_RIC,1,L_RIC_1,"6, 6",4.258,5.893
958,E,Low,RIC,L_RIC,1,L_RIC_1,"6, 8",4.464,4.018
763,D,Low,RIC,L_RIC,1,L_RIC_1,"6, 10",3.133,3.649
62,A,Low,RIC,L_RIC,1,L_RIC_1,"6, 12",4.594,3.226
289,B,Low,RIC,L_RIC,1,L_RIC_1,"5, 1",4.854,6.769
353,C,Low,RIC,L_RIC,1,L_RIC_1,"5, 5",2.81,3.332
17,A,Low,RIC,L_RIC,1,L_RIC_1,"5, 7",3.325,3.755
506,C,Low,RIC,L_RIC,1,L_RIC_1,"5, 9",2.618,3.054
1065,F,Low,RIC,L_RIC,1,L_RIC_1,"5, 11",6.358,8.232
615,D,Low,RIC,L_RIC,1,L_RIC_1,"4, 2",3.378,2.356
325,B,Low,RIC,L_RIC,1,L_RIC_1,"4, 4",7.603,9.777
284,B,Low,RIC,L_RIC,1,L_RIC_1,"4, 6",6.431,7.613
891,E,Low,RIC,L_RIC,1,L_RIC_1,"4, 8",3.278,2.953
456,C,Low,RIC,L_RIC,1,L_RIC_1,"4, 10",4.131,5.11
1080,F,Low,RIC,L_RIC,1,L_RIC_1,"3, 1",6.497,8.122
733,D,Low,RIC,L_RIC,1,L_RIC_1,"3, 5",2.911,4.204
810,D,Low,RIC,L_RIC,1,L_RIC_1,"3, 7",3.581,3.552
716,D,Low,RIC,L_RIC,1,L_RIC_1,"3, 9",2.519,2.222
1047,F,Low,RIC,L_RIC,1,L_RIC_1,"3, 11",5.975,7.042
463,C,Low,RIC,L_RIC,1,L_RIC_1,"2, 2",3.583,4.71
213,B,Low,RIC,L_RIC,1,L_RIC_1,"2, 4",6.397,8.221
906,E,Low,RIC,L_RIC,1,L_RIC_1,"2, 8",4.042,3.851
55,A,Low,RIC,L_RIC,1,L_RIC_1,"2, 10",4.718,5.023
643,D,Low,RIC,L_RIC,1,L_RIC_1,"2, 12",5.531,6.277
168,A,Low,RIC,L_RIC,1,L_RIC_1,"1, 1",4.341,4.527
201,B,Low,RIC,L_RIC,1,L_RIC_1,"1, 3",5.111,6.339
413,C,Low,RIC,L_RIC,1,L_RIC_1,"1, 9",3.25,5.544
64,A,Low,RIC,L_RIC,1,L_RIC_1,"1, 11",5.111,NA
22,A,Medium,RIC,M_RIC,1,M_RIC_1,"7, 3",6.27,1.551
166,A,Medium,RIC,M_RIC,1,M_RIC_1,"7, 5",4.521,3.156
687,D,Medium,RIC,M_RIC,1,M_RIC_1,"7, 7",2.717,NA
283,B,Medium,RIC,M_RIC,1,M_RIC_1,"6, 2",5.379,4.631
1132,F,Medium,RIC,M_RIC,1,M_RIC_1,"6, 6",3.739,3.888
130,A,Medium,RIC,M_RIC,1,M_RIC_1,"6, 8",3.986,2.058
929,E,Medium,RIC,M_RIC,1,M_RIC_1,"6, 10",2.608,2.404
306,B,Medium,RIC,M_RIC,1,M_RIC_1,"6, 12",5.931,5.397
51,A,Medium,RIC,M_RIC,1,M_RIC_1,"5, 7",6.381,2.153
286,B,Medium,RIC,M_RIC,1,M_RIC_1,"4, 2",7.163,7.184
787,D,Medium,RIC,M_RIC,1,M_RIC_1,"4, 4",3.739,3.66
595,D,Medium,RIC,M_RIC,1,M_RIC_1,"4, 6",4.145,2.989
1115,F,Medium,RIC,M_RIC,1,M_RIC_1,"4, 8",5.129,5.681
34,A,Medium,RIC,M_RIC,1,M_RIC_1,"4, 10",6.152,1.523
343,C,Medium,RIC,M_RIC,1,M_RIC_1,"4, 12",2.955,3.227
989,E,Medium,RIC,M_RIC,1,M_RIC_1,"3, 1",4.414,3.367
196,B,Medium,RIC,M_RIC,1,M_RIC_1,"3, 3",5.279,5.305
191,B,Medium,RIC,M_RIC,1,M_RIC_1,"3, 5",6.012,4.81
1025,F,Medium,RIC,M_RIC,1,M_RIC_1,"3, 9",5.091,5.152
1050,F,Medium,RIC,M_RIC,1,M_RIC_1,"2, 4",4.381,5.172
369,C,Medium,RIC,M_RIC,1,M_RIC_1,"2, 6",2.23,2.027
660,D,Medium,RIC,M_RIC,1,M_RIC_1,"2, 10",2.66,0.903
183,B,Medium,RIC,M_RIC,1,M_RIC_1,"1, 1",5.651,5.658
641,D,Medium,RIC,M_RIC,1,M_RIC_1,"1, 5",3.074,3.273
182,B,Medium,RIC,M_RIC,1,M_RIC_1,"1, 7",5.365,5.666
1118,F,Medium,RIC,M_RIC,1,M_RIC_1,"1, 9",5.464,6.139
82,A,Medium,RIC,M_RIC,1,M_RIC_1,"1, 11",5.87,4.64
114,A,Severe,RIC,S_RIC,1,S_RIC_1,"7, 1",7.261,2.37
223,B,Severe,RIC,S_RIC,1,S_RIC_1,"7, 3",5.368,2.431
1059,F,Severe,RIC,S_RIC,1,S_RIC_1,"7, 7",5.142,4.771
623,D,Severe,RIC,S_RIC,1,S_RIC_1,"7, 9",4.105,2.223
399,C,Severe,RIC,S_RIC,1,S_RIC_1,"7, 11",3.905,2.561
146,A,Severe,RIC,S_RIC,1,S_RIC_1,"6, 4",4.387,2.614
654,D,Severe,RIC,S_RIC,1,S_RIC_1,"6, 6",3.965,1.653
1179,F,Severe,RIC,S_RIC,1,S_RIC_1,"6, 8",9.288,9.548
455,C,Severe,RIC,S_RIC,1,S_RIC_1,"6, 10",2.087,0.56
507,C,Severe,RIC,S_RIC,1,S_RIC_1,"6, 12",5.7,1.945
837,E,Severe,RIC,S_RIC,1,S_RIC_1,"5, 1",3.956,0.342
206,B,Severe,RIC,S_RIC,1,S_RIC_1,"5, 3",5.162,3.865
959,E,Severe,RIC,S_RIC,1,S_RIC_1,"5, 7",3.297,0.036
444,C,Severe,RIC,S_RIC,1,S_RIC_1,"5, 9",2.615,1.238
1142,F,Severe,RIC,S_RIC,1,S_RIC_1,"4, 8",5.708,4.715
333,C,Severe,RIC,S_RIC,1,S_RIC_1,"4, 10",2.695,2.219
174,A,Severe,RIC,S_RIC,1,S_RIC_1,"4, 12",2.944,1.33
240,B,Severe,RIC,S_RIC,1,S_RIC_1,"3, 1",6.082,4.965
890,E,Severe,RIC,S_RIC,1,S_RIC_1,"3, 5",2.515,0.153
1117,F,Severe,RIC,S_RIC,1,S_RIC_1,"3, 11",3.069,3.615
547,C,Severe,RIC,S_RIC,1,S_RIC_1,"2, 4",2.922,1.746
872,E,Severe,RIC,S_RIC,1,S_RIC_1,"2, 6",3.324,NA
1067,F,Severe,RIC,S_RIC,1,S_RIC_1,"2, 8",5.497,5.459
1205,F,Severe,RIC,S_RIC,1,S_RIC_1,"2, 10",5.73,4.013
696,D,Severe,RIC,S_RIC,1,S_RIC_1,"2, 12",5.737,2.948
326,B,Severe,RIC,S_RIC,1,S_RIC_1,"1, 1",5.916,5.018
1095,F,Severe,RIC,S_RIC,1,S_RIC_1,"1, 3",4.938,5.251
265,B,Severe,RIC,S_RIC,1,S_RIC_1,"1, 5",4.651,3.647
429,C,Severe,RIC,S_RIC,1,S_RIC_1,"1, 7",4.575,3.05
596,D,Severe,RIC,S_RIC,1,S_RIC_1,"1, 9",5.347,3.146
912,E,Severe,RIC,S_RIC,1,S_RIC_1,"1, 11",5.362,NA
805,D,Severe,SD,S_SD,1,S_SD_1,"7, 1",2.866,1.717
1069,F,Severe,SD,S_SD,1,S_SD_1,"7, 3",5.725,4.243
74,A,Severe,SD,S_SD,1,S_SD_1,"7, 7",6.383,1.844
13,A,Severe,SD,S_SD,1,S_SD_1,"7, 9",3.439,0.905
414,C,Severe,SD,S_SD,1,S_SD_1,"7, 11",2.59,2.445
945,E,Severe,SD,S_SD,1,S_SD_1,"6, 2",4.642,NA
999,F,Severe,SD,S_SD,1,S_SD_1,"6, 4",6.523,6.7
756,D,Severe,SD,S_SD,1,S_SD_1,"6, 6",3.378,1.761
668,D,Severe,SD,S_SD,1,S_SD_1,"6, 10",3.393,1.375
228,B,Severe,SD,S_SD,1,S_SD_1,"5, 1",3.558,2.547
226,B,Severe,SD,S_SD,1,S_SD_1,"5, 3",4.725,3.349
120,A,Severe,SD,S_SD,1,S_SD_1,"5, 5",4.943,NA
679,D,Severe,SD,S_SD,1,S_SD_1,"5, 7",2.742,1.864
1037,F,Severe,SD,S_SD,1,S_SD_1,"5, 9",5.945,5.21
877,E,Severe,SD,S_SD,1,S_SD_1,"4, 6",3.051,1.426
778,D,Severe,SD,S_SD,1,S_SD_1,"4, 8",3.346,1.867
164,A,Severe,SD,S_SD,1,S_SD_1,"4, 10",3.493,1.652
96,A,Severe,SD,S_SD,1,S_SD_1,"3, 5",5.453,3.051
134,A,Severe,SD,S_SD,1,S_SD_1,"3, 11",4.986,1.458
395,C,Severe,SD,S_SD,1,S_SD_1,"2, 2",5.652,4.845
836,E,Severe,SD,S_SD,1,S_SD_1,"2, 4",6.603,NA
1060,F,Severe,SD,S_SD,1,S_SD_1,"2, 8",4.243,3.926
293,B,Severe,SD,S_SD,1,S_SD_1,"2, 10",5.645,4.817
220,B,Severe,SD,S_SD,1,S_SD_1,"2, 12",4.095,2.06
840,E,Severe,SD,S_SD,1,S_SD_1,"1, 1",3.251,0.458
1145,F,Severe,SD,S_SD,1,S_SD_1,"1, 5",6.72,NA
7,A,Severe,SD,S_SD,1,S_SD_1,"1, 7",4.556,6.759
141,A,Severe,SD,S_SD,1,S_SD_1,"1, 11",4.271,1.024
600,D,Severe,SS8,S_SS8,1,S_SS8_1,"7, 1",4.613,0.719
852,E,Severe,SS8,S_SS8,1,S_SS8_1,"7, 3",5.411,NA
932,E,Severe,SS8,S_SS8,1,S_SS8_1,"7, 5",2.995,0.393
853,E,Severe,SS8,S_SS8,1,S_SS8_1,"7, 7",5.114,0.438
604,D,Severe,SS8,S_SS8,1,S_SS8_1,"7, 9",4.265,1.125
440,C,Severe,SS8,S_SS8,1,S_SS8_1,"6, 2",2.976,0.55
1054,F,Severe,SS8,S_SS8,1,S_SS8_1,"6, 6",6.332,5.508
189,B,Severe,SS8,S_SS8,1,S_SS8_1,"6, 8",4.987,2.931
1207,F,Severe,SS8,S_SS8,1,S_SS8_1,"6, 12",8.153,6.445
666,D,Severe,SS8,S_SS8,1,S_SS8_1,"5, 3",4.293,1.471
613,D,Severe,SS8,S_SS8,1,S_SS8_1,"5, 9",5.071,1.437
66,A,Severe,SS8,S_SS8,1,S_SS8_1,"5, 11",6.039,NA
256,B,Severe,SS8,S_SS8,1,S_SS8_1,"4, 6",3.63,2.706
605,D,Severe,SS8,S_SS8,1,S_SS8_1,"4, 8",4.18,1.292
28,A,Severe,SS8,S_SS8,1,S_SS8_1,"4, 10",6.939,3.118
473,C,Severe,SS8,S_SS8,1,S_SS8_1,"3, 1",3.376,1.246
1019,F,Severe,SS8,S_SS8,1,S_SS8_1,"3, 5",2.6,1.925
909,E,Severe,SS8,S_SS8,1,S_SS8_1,"3, 11",2.127,NA
1222,F,Severe,SS8,S_SS8,1,S_SS8_1,"2, 2",7.679,7.016
288,B,Severe,SS8,S_SS8,1,S_SS8_1,"2, 4",3.372,2.365
466,C,Severe,SS8,S_SS8,1,S_SS8_1,"2, 6",4.068,2.458
18,A,Severe,SS8,S_SS8,1,S_SS8_1,"2, 8",6.18,1.958
148,A,Severe,SS8,S_SS8,1,S_SS8_1,"2, 10",6.531,0.89
161,A,Severe,SS8,S_SS8,1,S_SS8_1,"2, 12",3.008,1.105
827,E,Severe,SS8,S_SS8,1,S_SS8_1,"1, 1",3.422,0.848
1052,F,Severe,SS8,S_SS8,1,S_SS8_1,"1, 5",5.614,4.832
277,B,Severe,SS8,S_SS8,1,S_SS8_1,"1, 7",6.047,3.418
260,B,Severe,SS8,S_SS8,1,S_SS8_1,"1, 11",5.844,1.097
108,A,Severe,SS8,S_SS8,1,S_SS8_1,"4, 12",4.463,1.311
257,B,Medium,SD,M_SD,1,M_SD_1,"7, 3",5.523,NA
1183,F,Medium,SD,M_SD,1,M_SD_1,"7, 7",6.95,NA
970,E,Medium,SD,M_SD,1,M_SD_1,"7, 11",6.325,5.401
1104,F,Medium,SD,M_SD,1,M_SD_1,"6, 2",4.6,6.191
884,E,Medium,SD,M_SD,1,M_SD_1,"6, 4",3.941,2.476
375,C,Medium,SD,M_SD,1,M_SD_1,"6, 6",1.726,2.178
446,C,Medium,SD,M_SD,1,M_SD_1,"6, 10",3.08,3.864
520,C,Medium,SD,M_SD,1,M_SD_1,"6, 12",3.786,4.499
855,E,Medium,SD,M_SD,1,M_SD_1,"5, 9",5.475,4.417
980,E,Medium,SD,M_SD,1,M_SD_1,"5, 11",1.872,0.586
136,A,Medium,SD,M_SD,1,M_SD_1,"4, 2",3.102,2.716
253,B,Medium,SD,M_SD,1,M_SD_1,"4, 4",6.574,6.624
278,B,Medium,SD,M_SD,1,M_SD_1,"4, 6",6.06,6.248
675,D,Medium,SD,M_SD,1,M_SD_1,"3, 1",2.022,2.228
871,E,Medium,SD,M_SD,1,M_SD_1,"3, 7",5.232,4.322
1208,F,Medium,SD,M_SD,1,M_SD_1,"2, 4",5.68,7.882
104,A,Medium,SD,M_SD,1,M_SD_1,"2, 6",6.732,5.218
480,C,Medium,SD,M_SD,1,M_SD_1,"2, 8",5.545,6.591
188,B,Medium,SD,M_SD,1,M_SD_1,"2, 10",5.941,6.759
1027,F,Medium,SD,M_SD,1,M_SD_1,"2, 12",4.709,5.684
308,B,Medium,SD,M_SD,1,M_SD_1,"1, 3",5.836,5.011
851,E,Medium,SD,M_SD,1,M_SD_1,"1, 5",3.832,3.355
1006,F,Medium,SD,M_SD,1,M_SD_1,"1, 7",5.758,6.252
1045,F,Medium,SD,M_SD,1,M_SD_1,"1, 9",5.464,6.974
602,D,Medium,SD,M_SD,1,M_SD_1,"1, 11",5.011,4.157
129,A,Medium,SS8,M_SS8,1,M_SS8_1,"7, 1",4.42,NA
825,E,Medium,SS8,M_SS8,1,M_SS8_1,"7, 3",3.963,NA
185,B,Medium,SS8,M_SS8,1,M_SS8_1,"7, 7",6.849,NA
934,E,Medium,SS8,M_SS8,1,M_SS8_1,"7, 9",6.607,NA
49,A,Medium,SS8,M_SS8,1,M_SS8_1,"7, 11",3.888,NA
1056,F,Medium,SS8,M_SS8,1,M_SS8_1,"6, 2",6.173,NA
401,C,Medium,SS8,M_SS8,1,M_SS8_1,"6, 6",6.154,NA
467,C,Medium,SS8,M_SS8,1,M_SS8_1,"6, 8",1.397,NA
637,D,Medium,SS8,M_SS8,1,M_SS8_1,"6, 10",2.367,NA
394,C,Medium,SS8,M_SS8,1,M_SS8_1,"6, 12",3.836,NA
171,A,Medium,SS8,M_SS8,1,M_SS8_1,"5, 1",2.52,NA
713,D,Medium,SS8,M_SS8,1,M_SS8_1,"5, 3",2.464,NA
992,E,Medium,SS8,M_SS8,1,M_SS8_1,"5, 5",2.571,NA
436,C,Medium,SS8,M_SS8,1,M_SS8_1,"5, 7",2.806,NA
460,C,Medium,SS8,M_SS8,1,M_SS8_1,"5, 11",3.869,NA
815,D,Medium,SS8,M_SS8,1,M_SS8_1,"4, 2",3.126,NA
366,C,Medium,SS8,M_SS8,1,M_SS8_1,"4, 4",3.589,NA
250,B,Medium,SS8,M_SS8,1,M_SS8_1,"4, 6",3.711,NA
518,C,Medium,SS8,M_SS8,1,M_SS8_1,"4, 8",4.003,NA
879,E,Medium,SS8,M_SS8,1,M_SS8_1,"4, 10",4.021,NA
701,D,Medium,SS8,M_SS8,1,M_SS8_1,"4, 12",3.23,NA
282,B,Medium,SS8,M_SS8,1,M_SS8_1,"3, 1",5.087,NA
318,B,Medium,SS8,M_SS8,1,M_SS8_1,"3, 3",5.676,NA
239,B,Medium,SS8,M_SS8,1,M_SS8_1,"3, 5",5.879,NA
262,B,Medium,SS8,M_SS8,1,M_SS8_1,"3, 7",4.059,NA
1199,F,Medium,SS8,M_SS8,1,M_SS8_1,"3, 9",8.816,NA
1084,F,Medium,SS8,M_SS8,1,M_SS8_1,"3, 11",5.993,NA
1101,F,Medium,SS8,M_SS8,1,M_SS8_1,"2, 2",3.381,NA
2,A,Medium,SS8,M_SS8,1,M_SS8_1,"2, 4",5.576,NA
248,B,Medium,SS8,M_SS8,1,M_SS8_1,"2, 6",2.604,NA
1215,F,Medium,SS8,M_SS8,1,M_SS8_1,"2, 8",7.619,NA
857,E,Medium,SS8,M_SS8,1,M_SS8_1,"2, 12",2.358,NA
231,B,Medium,SS8,M_SS8,1,M_SS8_1,"1, 1",2.854,NA
470,C,Medium,SS8,M_SS8,1,M_SS8_1,"1, 3",3.025,NA
57,A,Medium,SS8,M_SS8,1,M_SS8_1,"1, 5",6.137,NA
981,E,Low,SD,L_SD,1,L_SD_1,"7, 1",5.729,5.795
1079,F,Low,SD,L_SD,1,L_SD_1,"7, 3",6.461,8.16
162,A,Low,SD,L_SD,1,L_SD_1,"7, 5",5.769,5.81
334,C,Low,SD,L_SD,1,L_SD_1,"7, 7",3.172,3.906
731,D,Low,SD,L_SD,1,L_SD_1,"7, 9",4.24,4.63
216,B,Low,SD,L_SD,1,L_SD_1,"6, 2",5.235,6.016
565,C,Low,SD,L_SD,1,L_SD_1,"6, 6",5.768,6.754
555,C,Low,SD,L_SD,1,L_SD_1,"6, 8",2.644,3.611
113,A,Low,SD,L_SD,1,L_SD_1,"6, 10",4.754,4.739
1016,F,Low,SD,L_SD,1,L_SD_1,"6, 12",8.755,9.972
72,A,Low,SD,L_SD,1,L_SD_1,"5, 1",5.746,4.045
338,C,Low,SD,L_SD,1,L_SD_1,"5, 3",1.965,2.964
21,A,Low,SD,L_SD,1,L_SD_1,"5, 5",4.331,4.399
956,E,Low,SD,L_SD,1,L_SD_1,"5, 7",4.455,4.326
1173,F,Low,SD,L_SD,1,L_SD_1,"5, 11",7.861,9.469
688,D,Low,SD,L_SD,1,L_SD_1,"4, 6",1.933,2.036
607,D,Low,SD,L_SD,1,L_SD_1,"4, 10",5.281,5.628
1164,F,Low,SD,L_SD,1,L_SD_1,"4, 12",2.566,3.176
1160,F,Low,SD,L_SD,1,L_SD_1,"3, 1",3.033,3.237
252,B,Low,SD,L_SD,1,L_SD_1,"3, 5",5.568,7.49
572,C,Low,SD,L_SD,1,L_SD_1,"3, 7",3.67,4.926
39,A,Low,SD,L_SD,1,L_SD_1,"3, 9",5.337,6.107
217,B,Low,SD,L_SD,1,L_SD_1,"3, 11",3.323,4.706
442,C,Low,SD,L_SD,1,L_SD_1,"2, 4",2.521,3.283
848,E,Low,SD,L_SD,1,L_SD_1,"2, 8",4.879,5.503
301,B,Low,SD,L_SD,1,L_SD_1,"2, 10",5.71,7.072
431,C,Low,SD,L_SD,1,L_SD_1,"2, 12",3.312,4.939
1015,F,Low,SD,L_SD,1,L_SD_1,"1, 1",7.246,8.946
280,B,Low,SD,L_SD,1,L_SD_1,"1, 3",4.905,6.934
87,A,Low,SD,L_SD,1,L_SD_1,"1, 7",6.182,3.368
922,E,Low,SS8,L_SS8,1,L_SS8_1,"7, 1",2.821,2.577
287,B,Low,SS8,L_SS8,1,L_SS8_1,"7, 3",6.024,7.033
633,D,Low,SS8,L_SS8,1,L_SS8_1,"7, 7",2.71,2.935
854,E,Low,SS8,L_SS8,1,L_SS8_1,"7, 11",3.994,3.705
181,B,Low,SS8,L_SS8,1,L_SS8_1,"6, 2",5.453,6.816
249,B,Low,SS8,L_SS8,1,L_SS8_1,"6, 4",3.727,5.567
998,F,Low,SS8,L_SS8,1,L_SS8_1,"6, 8",7.13,8.681
624,D,Low,SS8,L_SS8,1,L_SS8_1,"6, 10",2.512,3.033
337,C,Low,SS8,L_SS8,1,L_SS8_1,"6, 12",2.498,3.164
498,C,Low,SS8,L_SS8,1,L_SS8_1,"5, 1",5.071,6.07
1161,F,Low,SS8,L_SS8,1,L_SS8_1,"5, 3",2.993,2.78
270,B,Low,SS8,L_SS8,1,L_SS8_1,"5, 5",4.215,6.209
779,D,Low,SS8,L_SS8,1,L_SS8_1,"5, 7",3.811,4.249
933,E,Low,SS8,L_SS8,1,L_SS8_1,"5, 9",2.556,2.641
1189,F,Low,SS8,L_SS8,1,L_SS8_1,"4, 2",5.394,6.583
341,C,Low,SS8,L_SS8,1,L_SS8_1,"4, 4",3.103,4.235
745,D,Low,SS8,L_SS8,1,L_SS8_1,"4, 8",4.41,5.483
1126,F,Low,SS8,L_SS8,1,L_SS8_1,"4, 10",5.816,7.712
910,E,Low,SS8,L_SS8,1,L_SS8_1,"4, 12",2.815,2.428
43,A,Low,SS8,L_SS8,1,L_SS8_1,"3, 1",4.071,4.704
154,A,Low,SS8,L_SS8,1,L_SS8_1,"3, 3",3.931,4.415
173,A,Low,SS8,L_SS8,1,L_SS8_1,"3, 5",3.358,1.971
54,A,Low,SS8,L_SS8,1,L_SS8_1,"3, 9",6.899,7.09
1157,F,Low,SS8,L_SS8,1,L_SS8_1,"3, 11",5.408,5.539
4,A,Low,SS8,L_SS8,1,L_SS8_1,"2, 2",4.74,4.979
68,A,Low,SS8,L_SS8,1,L_SS8_1,"2, 4",6.086,5.607
703,D,Low,SS8,L_SS8,1,L_SS8_1,"2, 6",2.576,2.751
159,A,Low,SS8,L_SS8,1,L_SS8_1,"2, 10",3.881,3.446
160,A,Low,SS8,L_SS8,1,L_SS8_1,"2, 12",5.387,3.731
